Loading internal logger. Log::Log4perl recommended for better logging
WWW::PipeViewer	0.1.5
WWW::PipeViewer::ParseXML	undef
WWW::PipeViewer::GetCaption	undef
WWW::PipeViewer::Channels	undef
WWW::PipeViewer::CommentThreads	undef
WWW::PipeViewer::GuideCategories	undef
WWW::PipeViewer::VideoCategories	undef
WWW::PipeViewer::Search	undef
WWW::PipeViewer::RegularExpressions	undef
WWW::PipeViewer::Authentication	undef
WWW::PipeViewer::Utils	undef
WWW::PipeViewer::ParseJSON	undef
WWW::PipeViewer::Playlists	undef
WWW::PipeViewer::Activities	undef
WWW::PipeViewer::Videos	undef
WWW::PipeViewer::InitialData	undef
WWW::PipeViewer::Itags	undef
WWW::PipeViewer::PlaylistItems	undef
WWW::PipeViewer::Subscriptions	undef
Socket6	0.29
Encode	3.12
PadWalker	2.5
encoding	3.00
Package::Stash::XS	0.29
Class::MethodMaker	2.24
Class::MethodMaker::array	undef
Class::MethodMaker::hash	undef
Class::MethodMaker::V1Compat	undef
Class::MethodMaker::scalar	undef
Class::MethodMaker::Constants	undef
Class::MethodMaker::OptExt	undef
Class::MethodMaker::Engine	2.24
Sub::Name	0.26
Sub::Identify	0.14
Sub::Util	1.56
Params::Util	1.102
Params::Util::PP	1.102
common::sense	3.75
JSON::XS	4.03
JSON::XS::Boolean	undef
Text::CharWidth	0.04
Text::LineFold	2018.012
Text::CSV_XS	1.34
Term::ReadKey	2.38
Term::ReadLine::Gnu	1.42
Term::ReadLine::Gnu::XS	1.42
XML::Parser	2.46
XML::Parser::Expat	2.46
XML::Parser::Style::Subs	undef
XML::Parser::Style::Stream	undef
XML::Parser::Style::Tree	undef
XML::Parser::Style::Objects	undef
XML::Parser::Style::Debug	undef
Net::SSLeay	1.90
Net::SSLeay::Handle	1.90
Variable::Magic	0.62
Encode::Symbol	2.02
Encode::Alias	2.24
Encode::Encoding	2.08
Encode::JP	2.05
Encode::Guess	2.08
Encode::Unicode	2.19
Encode::KR	2.03
Encode::CJKConstants	2.02
Encode::TW	2.03
Encode::Encoder	2.03
Encode::GSM0338	2.10
Encode::Config	2.05
Encode::CN	2.03
Encode::EBCDIC	2.02
Encode::Byte	2.04
Encode::MIME::Name	1.03
Encode::MIME::Header	2.28
Encode::MIME::Header::ISO_2022_JP	1.09
Encode::KR::2022_KR	2.04
Encode::Unicode::UTF7	2.10
Encode::JP::H2Z	2.02
Encode::JP::JIS7	2.08
Encode::CN::HZ	2.10
Scalar::Util	1.56
Unicode::GCString	2013.10
Unicode::Map	0.112
Unicode::LineBreak	2019.001
Unicode::LineBreak::Constants	undef
Ref::Util::XS	0.117
HTML::HeadParser	3.76
HTML::LinkExtor	3.76
HTML::Entities	3.76
HTML::Parser	3.76
HTML::Filter	3.76
HTML::TokeParser	3.76
HTML::PullParser	3.76
List::Util	1.56
List::Util::XS	1.56
Devel::LexAlias	0.05
Devel::Caller	2.06
PerlIO::utf8_strict	0.008
Locale::gettext	1.07
URI	1.73
Git	0.01
JSON	4.03
SGMLS	1.1
CGI	4.51
TimeDate	1.21
LWP	6.55
Error	0.17029
Gentoo	0.01
Specio	0.42
MailTools	2.21
YAML	1.26
Fh	4.51
Package::Stash	0.39
Package::Stash::PP	0.39
Package::Stash::Conflicts	undef
CPAN::Meta::Check	0.014
IO::ScalarArray	2.113
IO::Lines	2.113
IO::AtomicFile	2.113
IO::InnerFile	2.113
IO::WrapTie	2.113
IO::Wrap	2.113
IO::Stringy	2.113
IO::HTML	1.004
IO::Scalar	2.113
IO::Socket::SSL	2.071
IO::Socket::INET6	2.72
IO::Socket::SSL::Intercept	2.056
IO::Socket::SSL::Utils	2.014
IO::Socket::SSL::PublicSuffix	undef
Socket6	0.29
Encode	3.12
PadWalker	2.5
encoding	3.00
Package::Stash::XS	0.29
Class::MethodMaker	2.24
Class::MethodMaker::array	undef
Class::MethodMaker::hash	undef
Class::MethodMaker::V1Compat	undef
Class::MethodMaker::scalar	undef
Class::MethodMaker::Constants	undef
Class::MethodMaker::OptExt	undef
Class::MethodMaker::Engine	2.24
Sub::Name	0.26
Sub::Identify	0.14
Sub::Util	1.56
Params::Util	1.102
Params::Util::PP	1.102
common::sense	3.75
JSON::XS	4.03
JSON::XS::Boolean	undef
Text::CharWidth	0.04
Text::LineFold	2018.012
Text::CSV_XS	1.34
Term::ReadKey	2.38
Term::ReadLine::Gnu	1.42
Term::ReadLine::Gnu::XS	1.42
XML::Parser	2.46
XML::Parser::Expat	2.46
XML::Parser::Style::Subs	undef
XML::Parser::Style::Stream	undef
XML::Parser::Style::Tree	undef
XML::Parser::Style::Objects	undef
XML::Parser::Style::Debug	undef
Net::SSLeay	1.90
Net::SSLeay::Handle	1.90
Variable::Magic	0.62
Encode::Symbol	2.02
Encode::Alias	2.24
Encode::Encoding	2.08
Encode::JP	2.05
Encode::Guess	2.08
Encode::Unicode	2.19
Encode::KR	2.03
Encode::CJKConstants	2.02
Encode::TW	2.03
Encode::Encoder	2.03
Encode::GSM0338	2.10
Encode::Config	2.05
Encode::CN	2.03
Encode::EBCDIC	2.02
Encode::Byte	2.04
Encode::MIME::Name	1.03
Encode::MIME::Header	2.28
Encode::MIME::Header::ISO_2022_JP	1.09
Encode::KR::2022_KR	2.04
Encode::Unicode::UTF7	2.10
Encode::JP::H2Z	2.02
Encode::JP::JIS7	2.08
Encode::CN::HZ	2.10
Scalar::Util	1.56
Unicode::GCString	2013.10
Unicode::Map	0.112
Unicode::LineBreak	2019.001
Unicode::LineBreak::Constants	undef
Ref::Util::XS	0.117
HTML::HeadParser	3.76
HTML::LinkExtor	3.76
HTML::Entities	3.76
HTML::Parser	3.76
HTML::Filter	3.76
HTML::TokeParser	3.76
HTML::PullParser	3.76
List::Util	1.56
List::Util::XS	1.56
Devel::LexAlias	0.05
Devel::Caller	2.06
PerlIO::utf8_strict	0.008
Locale::gettext	1.07
Eval::Closure	0.14
Specio::Helpers	0.42
Specio::TypeChecks	0.42
Specio::Exporter	0.42
Specio::DeclaredAt	0.42
Specio::Exception	0.42
Specio::Subs	0.42
Specio::PartialDump	0.42
Specio::Coercion	0.42
Specio::OO	0.42
Specio::Declare	0.42
Specio::Registry	0.42
Specio::Library::Builtins	0.42
Specio::Library::Structured	0.42
Specio::Library::String	0.42
Specio::Library::Perl	0.42
Specio::Library::Numeric	0.42
Specio::Library::Structured::Dict	0.42
Specio::Library::Structured::Map	0.42
Specio::Library::Structured::Tuple	0.42
Specio::Role::Inlinable	0.42
Specio::Constraint::Parameterizable	0.42
Specio::Constraint::ObjectIsa	0.42
Specio::Constraint::Union	0.42
Specio::Constraint::Simple	0.42
Specio::Constraint::AnyDoes	0.42
Specio::Constraint::ObjectDoes	0.42
Specio::Constraint::ObjectCan	0.42
Specio::Constraint::AnyIsa	0.42
Specio::Constraint::Enum	0.42
Specio::Constraint::Structurable	0.42
Specio::Constraint::AnyCan	0.42
Specio::Constraint::Structured	0.42
Specio::Constraint::Intersection	0.42
Specio::Constraint::Parameterized	0.42
Specio::Constraint::Role::IsaType	0.42
Specio::Constraint::Role::CanType	0.42
Specio::Constraint::Role::Interface	0.42
Specio::Constraint::Role::DoesType	0.42
MIME::Charset	1.012.2
MIME::Charset::UTF	1.010
MIME::Charset::_Compat	1.003.1
Class::Data::Inheritable	0.08
Sub::Exporter	0.988
Sub::Install	0.928
Sub::Defer	2.006006
Sub::Quote	2.006006
Sub::Exporter::Progressive	0.001013
Sub::Exporter::Util	0.988
Date::Language	1.10
Date::Parse	2.33
Date::Format	2.24
Date::Language::Turkish	1.0
Date::Language::Spanish	1.00
Date::Language::German	1.02
Date::Language::Romanian	1.01
Date::Language::Russian	1.01
Date::Language::Norwegian	1.01
Date::Language::Bulgarian	1.01
Date::Language::Icelandic	1.01
Date::Language::Russian_koi8r	1.01
